Port,Volume_Conteneurs_Vides,Bateau_Entreprise,Pourcentage_Conteneurs_Vides,Presence_Moyenne_Jours,Type_Conteneur,Risque_Vide
Qingdao,88989,CMA CGM,9.7,3,Entreprises Grande Taille,Basse
Singapour,121197,Yang Ming,10.9,7,Alimentaires,Moyenne
Shangai,123713,Maersk,14.9,5,Alimentaires,Haute
Singapour,131099,COSCO,10.7,4,Particuliers,Moyenne
Busan,85255,Hapag-Lloyd,10.1,5,Alimentaires,Haute
Busan,105253,Evergreen,12.3,3,Industriels,Basse
Rotterdam,121663,MSC,11.7,4,Industriels,Haute
Shenzen,80604,Hapag-Lloyd,14.2,4,Entreprises Grande Taille,Moyenne
Rotterdam,101469,Maersk,13.5,4,Petites Entreprises,Haute
Guangzou,83064,COSCO,12.5,4,Petites Entreprises,Haute
Singapour,92005,COSCO,14.7,7,Entreprises Grande Taille,Moyenne
Qingdao,92511,ZIM,14.2,7,Alimentaires,Haute
Guangzou,75287,MSC,12.3,7,Entreprises Grande Taille,Haute
Rotterdam,105495,ONE,11.2,7,Entreprises Grande Taille,Moyenne
Qingdao,81782,ONE,11.1,5,Petites Entreprises,Haute
Tianjin,76098,CMA CGM,10.1,3,Petites Entreprises,Haute
Rotterdam,109421,Hapag-Lloyd,10.4,6,Particuliers,Haute
Singapour,97903,COSCO,10.2,6,Alimentaires,Haute
Hong Kong,65353,Evergreen,14.3,5,Industriels,Moyenne
Shangai,120077,Maersk,13.4,6,Particuliers,Moyenne
Rotterdam,120092,COSCO,13.2,3,Alimentaires,Moyenne
Qingdao,80257,Maersk,14.0,3,Petites Entreprises,Haute
Ningbo Zhoushan,149749,CMA CGM,12.8,5,Alimentaires,Moyenne
Busan,101061,Evergreen,11.8,3,Alimentaires,Haute
Hong Kong,67289,ZIM,11.6,6,Particuliers,Haute
Hong Kong,76516,ONE,10.1,6,Alimentaires,Moyenne
Qingdao,76778,MSC,9.7,4,Petites Entreprises,Haute
Hong Kong,71626,COSCO,14.1,6,Alimentaires,Basse
Ningbo Zhoushan,127700,ONE,12.1,6,Industriels,Moyenne
Qingdao,83174,ZIM,12.2,7,Petites Entreprises,Moyenne
Busan,98095,CMA CGM,14.0,4,Entreprises Grande Taille,Haute
Qingdao,93752,COSCO,9.1,3,Petites Entreprises,Moyenne
Hong Kong,74909,Evergreen,13.5,3,Alimentaires,Haute
Hong Kong,73629,ONE,9.0,5,Alimentaires,Moyenne
Tianjin,70989,CMA CGM,9.9,7,Particuliers,Basse
Shenzen,89268,Maersk,13.4,4,Alimentaires,Haute
Tianjin,91942,COSCO,10.9,7,Alimentaires,Moyenne
Shenzen,110364,ZIM,10.9,7,Petites Entreprises,Moyenne
Tianjin,77378,Maersk,14.0,5,Particuliers,Haute
Ningbo Zhoushan,132287,Yang Ming,14.0,5,Entreprises Grande Taille,Moyenne
Shangai,113718,Maersk,11.5,4,Entreprises Grande Taille,Moyenne
Hong Kong,69312,Yang Ming,11.9,5,Petites Entreprises,Haute
Busan,71776,Hapag-Lloyd,9.0,6,Industriels,Haute
Ningbo Zhoushan,103389,CMA CGM,11.6,7,Entreprises Grande Taille,Basse
Tianjin,92721,COSCO,14.2,3,Industriels,Haute
Rotterdam,120874,Maersk,14.6,3,Particuliers,Basse
Qingdao,88972,ONE,14.7,7,Particuliers,Moyenne
Qingdao,77293,ZIM,11.1,3,Particuliers,Moyenne
Guangzou,100196,COSCO,9.6,6,Entreprises Grande Taille,Moyenne
Tianjin,85282,ZIM,14.4,3,Entreprises Grande Taille,Basse
Rotterdam,109021,CMA CGM,12.2,4,Industriels,Haute
Guangzou,73888,Hapag-Lloyd,14.1,7,Alimentaires,Haute
Hong Kong,68777,Hapag-Lloyd,13.7,6,Petites Entreprises,Moyenne
Rotterdam,98470,MSC,12.8,5,Alimentaires,Moyenne
Singapour,132045,CMA CGM,14.9,3,Particuliers,Moyenne
Singapour,134203,Maersk,12.5,4,Petites Entreprises,Moyenne
Singapour,134300,Yang Ming,9.8,7,Particuliers,Haute
Ningbo Zhoushan,118301,Maersk,14.6,5,Particuliers,Moyenne
Rotterdam,96307,CMA CGM,13.5,3,Alimentaires,Moyenne
Hong Kong,80686,Hapag-Lloyd,9.9,7,Entreprises Grande Taille,Basse
Hong Kong,86105,Hapag-Lloyd,13.2,7,Industriels,Haute
Tianjin,92918,Evergreen,12.6,5,Industriels,Moyenne
Hong Kong,79277,Maersk,13.0,6,Entreprises Grande Taille,Basse
Qingdao,74015,Yang Ming,12.8,3,Entreprises Grande Taille,Basse
Busan,78320,CMA CGM,12.6,3,Particuliers,Moyenne
Ningbo Zhoushan,102473,Maersk,14.0,6,Entreprises Grande Taille,Basse
Ningbo Zhoushan,101726,MSC,14.0,7,Industriels,Basse
Singapour,129373,ONE,14.9,4,Particuliers,Moyenne
Guangzou,78855,ONE,14.5,3,Industriels,Moyenne
Guangzou,82749,CMA CGM,13.2,4,Entreprises Grande Taille,Moyenne
Shangai,136370,Maersk,13.2,6,Petites Entreprises,Haute
Qingdao,98499,Evergreen,9.4,6,Particuliers,Haute
Qingdao,74000,COSCO,12.5,3,Alimentaires,Haute
Shenzen,87613,ZIM,13.6,4,Petites Entreprises,Haute
Singapour,122499,MSC,12.1,6,Industriels,Basse
Shenzen,87881,Evergreen,13.2,6,Particuliers,Haute
Qingdao,87598,ZIM,12.7,4,Industriels,Moyenne
Qingdao,71419,Hapag-Lloyd,9.9,6,Industriels,Basse
Tianjin,97433,ONE,10.2,4,Petites Entreprises,Moyenne
Qingdao,69715,ZIM,13.6,4,Particuliers,Moyenne
Busan,80241,ONE,11.0,4,Alimentaires,Basse
Hong Kong,76367,Yang Ming,13.5,5,Entreprises Grande Taille,Haute
Hong Kong,68040,ONE,13.2,3,Entreprises Grande Taille,Basse
Guangzou,98737,Hapag-Lloyd,11.9,7,Entreprises Grande Taille,Basse
Shangai,120105,Hapag-Lloyd,12.6,4,Petites Entreprises,Haute
Shenzen,84569,Evergreen,13.7,3,Industriels,Basse
Hong Kong,77114,ZIM,10.0,4,Petites Entreprises,Moyenne
Singapour,122013,CMA CGM,13.8,6,Entreprises Grande Taille,Moyenne
Busan,88303,Hapag-Lloyd,10.6,5,Alimentaires,Basse
Busan,88796,Yang Ming,10.4,7,Industriels,Haute
Ningbo Zhoushan,108369,MSC,10.5,5,Industriels,Haute
Rotterdam,117819,ZIM,10.8,7,Industriels,Haute
Shenzen,87502,Evergreen,12.2,6,Alimentaires,Moyenne
Hong Kong,67359,ONE,10.0,3,Particuliers,Haute
Rotterdam,109104,COSCO,13.0,3,Particuliers,Moyenne
Qingdao,87149,Hapag-Lloyd,14.3,3,Particuliers,Haute
Hong Kong,85276,ZIM,9.2,4,Petites Entreprises,Haute
Shangai,136262,Maersk,14.0,5,Petites Entreprises,Haute
Ningbo Zhoushan,113381,Yang Ming,12.0,3,Industriels,Moyenne
Singapour,126697,COSCO,12.4,4,Alimentaires,Haute
Shangai,142726,CMA CGM,14.1,3,Industriels,Haute
Qingdao,87980,Evergreen,13.0,6,Industriels,Moyenne
Tianjin,84295,COSCO,14.2,3,Alimentaires,Haute
Busan,86069,CMA CGM,13.4,5,Particuliers,Basse
Singapour,108955,MSC,14.4,6,Particuliers,Moyenne
Singapour,117948,Yang Ming,12.8,7,Alimentaires,Moyenne
Shenzen,102125,Hapag-Lloyd,13.8,4,Particuliers,Basse
Hong Kong,75407,Maersk,13.7,6,Petites Entreprises,Haute
Tianjin,86519,CMA CGM,14.8,7,Particuliers,Haute
Rotterdam,90999,Hapag-Lloyd,9.0,4,Alimentaires,Basse
Rotterdam,101955,Evergreen,9.9,6,Alimentaires,Haute
Busan,87191,ZIM,12.5,7,Particuliers,Basse
